DEBUG 2024-10-03 20:59:55,922 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\django\db\__init__.py first seen with mtime 1725444486.5711508
DEBUG 2024-10-03 20:59:55,923 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\requests\certs.py first seen with mtime 1716948931.297558
DEBUG 2024-10-03 20:59:55,923 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\unittest\signals.py first seen with mtime 1710884776.0
DEBUG 2024-10-03 20:59:55,923 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\django\conf\locale\__init__.py first seen with mtime 1725444485.5551505
DEBUG 2024-10-03 20:59:55,924 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\django\core\files\storage\memory.py first seen with mtime 1725444486.5511508
DEBUG 2024-10-03 20:59:55,925 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\io.py first seen with mtime 1710884776.0
DEBUG 2024-10-03 20:59:55,925 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\uuid.py first seen with mtime 1710884776.0
DEBUG 2024-10-03 20:59:55,926 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\django\utils\datastructures.py first seen with mtime 1725444486.655151
DEBUG 2024-10-03 20:59:55,926 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\posixpath.py first seen with mtime 1710884776.0
DEBUG 2024-10-03 20:59:55,927 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\django\contrib\sessions\models.py first seen with mtime 1725444486.4151506
DEBUG 2024-10-03 20:59:55,927 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\requests\models.py first seen with mtime 1716948931.3036168
DEBUG 2024-10-03 20:59:55,928 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\unittest\mock.py first seen with mtime 1710884776.0
DEBUG 2024-10-03 20:59:55,928 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\django\contrib\admin\templatetags\admin_list.py first seen with mtime 1725444485.8711507
DEBUG 2024-10-03 20:59:55,929 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\logging\__init__.py first seen with mtime 1710884776.0
DEBUG 2024-10-03 20:59:55,930 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\rest_framework_simplejwt\__init__.py first seen with mtime 1727952334.8795898
DEBUG 2024-10-03 20:59:55,930 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\ctypes\wintypes.py first seen with mtime 1710884776.0
DEBUG 2024-10-03 20:59:55,931 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\idna\__init__.py first seen with mtime 1716948687.022435
DEBUG 2024-10-03 20:59:55,932 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\gzip.py first seen with mtime 1710884776.0
DEBUG 2024-10-03 20:59:55,932 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\django\db\backends\sqlite3\base.py first seen with mtime 1725444486.5871508
DEBUG 2024-10-03 20:59:55,933 autoreload File F:\AI\torch\MuseTalk-main\slingshot\server\AiShotServer\AiShotServer\__init__.py first seen with mtime 1725087006.0503411
DEBUG 2024-10-03 20:59:55,933 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\django\utils\lorem_ipsum.py first seen with mtime 1725444486.6591508
DEBUG 2024-10-03 20:59:55,934 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\dataclasses.py first seen with mtime 1710884776.0
DEBUG 2024-10-03 20:59:55,934 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\django\db\models\sql\query.py first seen with mtime 1725444486.6071508
DEBUG 2024-10-03 20:59:55,935 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\django\http\response.py first seen with mtime 1725444486.635151
DEBUG 2024-10-03 20:59:55,935 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\rest_framework\utils\html.py first seen with mtime 1718812629.43791
DEBUG 2024-10-03 20:59:55,936 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\mimetypes.py first seen with mtime 1710884776.0
DEBUG 2024-10-03 20:59:55,936 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\secrets.py first seen with mtime 1710884776.0
DEBUG 2024-10-03 20:59:55,937 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\DLLs\_ssl.pyd first seen with mtime 1715025229.793323
DEBUG 2024-10-03 20:59:55,938 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\xml\dom\__init__.py first seen with mtime 1710884776.0
DEBUG 2024-10-03 20:59:55,938 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\DLLs\_overlapped.pyd first seen with mtime 1715025218.877233
DEBUG 2024-10-03 20:59:55,939 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\jinja2\compiler.py first seen with mtime 1716948710.1185558
DEBUG 2024-10-03 20:59:55,939 autoreload File E:\Users\Administrator\anaconda3\envs\musetalk\Lib\site-packages\django\core\files\storage\filesystem.py first seen with mtime 1725444486.5511508
